#Name,VisitHour,VisitDay,Visits,StdDev,Site Daily Total,Site Daily StdDev,Site Weekly Total,Site Daily Average,Tier,Max MD Hours,,,
Bellmore,8:30:00,Sunday,0.08,0.28,117.69,2.07,835.37,120,E,200,,,
Bellmore,8:30:00,Monday,0,0,138.69,2.65,835.37,120,E,200,,,
Bellmore,8:30:00,Tuesday,0,0,128.83,2.14,835.37,120,E,200,,,
Bellmore,8:30:00,Wednesday,0.23,0.6,119.15,2.04,835.37,120,E,200,,,
Bellmore,8:30:00,Thursday,0,0,120.08,2.24,835.37,120,E,200,,,
Bellmore,8:30:00,Friday,0,0,114.54,1.98,835.37,120,E,200,,,
Bellmore,8:30:00,Saturday,0,0,96.38,1.56,835.37,120,E,200,,,
Bellmore,9:00:00,Sunday,13.23,3.63,117.69,2.07,835.37,120,E,200,,,
Bellmore,9:00:00,Monday,12.69,4.46,138.69,2.65,835.37,120,E,200,,,
Bellmore,9:00:00,Tuesday,11.08,2.47,128.83,2.14,835.37,120,E,200,,,
Bellmore,9:00:00,Wednesday,10.85,3.16,119.15,2.04,835.37,120,E,200,,,
Bellmore,9:00:00,Thursday,10.08,4.05,120.08,2.24,835.37,120,E,200,,,
Bellmore,9:00:00,Friday,10.38,3.97,114.54,1.98,835.37,120,E,200,,,
Bellmore,9:00:00,Saturday,11.85,3.46,96.38,1.56,835.37,120,E,200,,,
Bellmore,9:30:00,Sunday,10.77,5.02,117.69,2.07,835.37,120,E,200,,,
Bellmore,9:30:00,Monday,6.69,2.43,138.69,2.65,835.37,120,E,200,,,
Bellmore,9:30:00,Tuesday,6.92,2.02,128.83,2.14,835.37,120,E,200,,,
Bellmore,9:30:00,Wednesday,5.46,3.64,119.15,2.04,835.37,120,E,200,,,
Bellmore,9:30:00,Thursday,5.85,3.05,120.08,2.24,835.37,120,E,200,,,
Bellmore,9:30:00,Friday,6,2.04,114.54,1.98,835.37,120,E,200,,,
Bellmore,9:30:00,Saturday,8.62,4.11,96.38,1.56,835.37,120,E,200,,,
Bellmore,10:00:00,Sunday,8.15,3.56,117.69,2.07,835.37,120,E,200,,,
Bellmore,10:00:00,Monday,6.38,2.72,138.69,2.65,835.37,120,E,200,,,
Bellmore,10:00:00,Tuesday,4.83,3.33,128.83,2.14,835.37,120,E,200,,,
Bellmore,10:00:00,Wednesday,5.62,2.66,119.15,2.04,835.37,120,E,200,,,
Bellmore,10:00:00,Thursday,5.46,2.79,120.08,2.24,835.37,120,E,200,,,
Bellmore,10:00:00,Friday,5.77,2.59,114.54,1.98,835.37,120,E,200,,,
Bellmore,10:00:00,Saturday,5.15,2.94,96.38,1.56,835.37,120,E,200,,,
Bellmore,10:30:00,Sunday,8.15,2.44,117.69,2.07,835.37,120,E,200,,,
Bellmore,10:30:00,Monday,5,2.61,138.69,2.65,835.37,120,E,200,,,
Bellmore,10:30:00,Tuesday,5.08,1.98,128.83,2.14,835.37,120,E,200,,,
Bellmore,10:30:00,Wednesday,5.54,2.93,119.15,2.04,835.37,120,E,200,,,
Bellmore,10:30:00,Thursday,4.46,2.26,120.08,2.24,835.37,120,E,200,,,
Bellmore,10:30:00,Friday,5,2.35,114.54,1.98,835.37,120,E,200,,,
Bellmore,10:30:00,Saturday,5,1.91,96.38,1.56,835.37,120,E,200,,,
Bellmore,11:00:00,Sunday,10.08,3.04,117.69,2.07,835.37,120,E,200,,,
Bellmore,11:00:00,Monday,5.23,2.92,138.69,2.65,835.37,120,E,200,,,
Bellmore,11:00:00,Tuesday,6.08,2.54,128.83,2.14,835.37,120,E,200,,,
Bellmore,11:00:00,Wednesday,5.62,2.66,119.15,2.04,835.37,120,E,200,,,
Bellmore,11:00:00,Thursday,4.85,2.51,120.08,2.24,835.37,120,E,200,,,
Bellmore,11:00:00,Friday,5,3.19,114.54,1.98,835.37,120,E,200,,,
Bellmore,11:00:00,Saturday,6.92,2.6,96.38,1.56,835.37,120,E,200,,,
Bellmore,11:30:00,Sunday,8.31,2.36,117.69,2.07,835.37,120,E,200,,,
Bellmore,11:30:00,Monday,6.46,3.1,138.69,2.65,835.37,120,E,200,,,
Bellmore,11:30:00,Tuesday,4.92,1.98,128.83,2.14,835.37,120,E,200,,,
Bellmore,11:30:00,Wednesday,3.69,1.8,119.15,2.04,835.37,120,E,200,,,
Bellmore,11:30:00,Thursday,4.54,3.07,120.08,2.24,835.37,120,E,200,,,
