Location,Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
CityMD 23rd St,08:00:00,0.000,0.515,0.550,0.539,0.507,0.417,0.000
,08:30:00,0.119,0.515,0.525,0.539,0.482,0.409,0.195
,09:00:00,0.475,0.558,0.593,0.524,0.519,0.538,0.668
,09:30:00,0.423,0.623,0.548,0.589,0.429,0.497,0.492
,10:00:00,0.428,0.663,0.568,0.574,0.558,0.482,0.485
,10:30:00,0.480,0.575,0.598,0.552,0.514,0.638,0.490
,11:00:00,0.482,0.651,0.613,0.557,0.570,0.550,0.589
,11:30:00,0.613,0.751,0.593,0.608,0.565,0.618,0.651
,12:00:00,0.589,0.819,0.736,0.663,0.577,0.686,0.668
,12:30:00,0.579,0.776,0.681,0.678,0.631,0.641,0.618
,13:00:00,0.576,0.736,0.686,0.631,0.655,0.671,0.594
,13:30:00,0.517,0.708,0.590,0.517,0.531,0.590,0.623
,14:00:00,0.576,0.605,0.585,0.616,0.477,0.588,0.601
,14:30:00,0.507,0.631,0.550,0.542,0.482,0.548,0.512
,15:00:00,0.485,0.610,0.515,0.601,0.536,0.583,0.584
,15:30:00,0.418,0.656,0.560,0.529,0.490,0.540,0.460
,16:00:00,0.477,0.673,0.580,0.537,0.509,0.578,0.435
,16:30:00,0.371,0.525,0.598,0.497,0.589,0.540,0.420
,17:00:00,0.408,0.706,0.688,0.618,0.650,0.636,0.440
,17:30:00,0.336,0.814,0.754,0.777,0.684,0.691,0.349
,18:00:00,0.289,0.907,0.872,0.747,0.777,0.575,0.331
,18:30:00,0.351,0.872,0.819,0.735,0.663,0.595,0.334
,19:00:00,0.299,0.754,0.603,0.532,0.529,0.515,0.361
,19:30:00,0.302,0.550,0.492,0.458,0.343,0.339,0.279
,20:00:00,0.208,0.490,0.445,0.448,0.356,0.329,0.346
,20:30:00,0.161,0.354,0.377,0.317,0.324,0.281,0.176
,21:00:00,0.007,0.334,0.264,0.247,0.236,0.239,0.015
,21:30:00,0.000,0.173,0.156,0.121,0.175,0.161,0.000
