Location,Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
CityMD 57th St,08:00:00,0.000,0.530,0.556,0.515,0.576,0.537,0.000
,08:30:00,0.126,0.462,0.428,0.539,0.488,0.501,0.136
,09:00:00,0.637,0.530,0.501,0.561,0.510,0.542,0.622
,09:30:00,0.481,0.595,0.554,0.569,0.505,0.522,0.564
,10:00:00,0.479,0.646,0.522,0.571,0.493,0.590,0.569
,10:30:00,0.544,0.610,0.634,0.566,0.498,0.581,0.590
,11:00:00,0.513,0.624,0.537,0.607,0.537,0.651,0.644
,11:30:00,0.549,0.724,0.552,0.680,0.556,0.663,0.632
,12:00:00,0.654,0.688,0.688,0.651,0.629,0.675,0.593
,12:30:00,0.590,0.758,0.615,0.622,0.620,0.702,0.624
,13:00:00,0.549,0.671,0.615,0.586,0.573,0.661,0.559
,13:30:00,0.586,0.671,0.573,0.561,0.593,0.595,0.547
,14:00:00,0.479,0.617,0.588,0.501,0.556,0.576,0.554
,14:30:00,0.508,0.576,0.542,0.571,0.415,0.518,0.629
,15:00:00,0.435,0.527,0.530,0.576,0.508,0.663,0.569
,15:30:00,0.423,0.595,0.554,0.513,0.503,0.615,0.547
,16:00:00,0.493,0.554,0.484,0.583,0.583,0.624,0.542
,16:30:00,0.430,0.590,0.537,0.578,0.561,0.658,0.479
,17:00:00,0.381,0.671,0.607,0.654,0.549,0.576,0.452
,17:30:00,0.372,0.778,0.751,0.688,0.726,0.724,0.403
,18:00:00,0.372,0.819,0.736,0.722,0.748,0.605,0.362
,18:30:00,0.369,0.768,0.726,0.654,0.651,0.564,0.347
,19:00:00,0.333,0.646,0.641,0.503,0.564,0.476,0.340
,19:30:00,0.306,0.537,0.476,0.467,0.425,0.464,0.330
,20:00:00,0.265,0.464,0.394,0.435,0.408,0.313,0.304
,20:30:00,0.190,0.364,0.360,0.347,0.343,0.250,0.221
,21:00:00,0.010,0.318,0.299,0.277,0.279,0.265,0.027
,21:30:00,0.000,0.165,0.182,0.136,0.158,0.160,0.000
