Monthly Visits,Jan,Feb,March,April,May,June,July,August,Sept,October,November,December
Bellmore,4259.79964,3509.653195,3853.635708,3346.712308,3516.895136,3568.908534,3510.577387,3608.27789,3758.690414,3992.893058,4078.328699,5216.713164
Carle Place,1716.860713,1453.360473,1632.999667,1447.469979,1549.203698,1597.868289,1595.045983,1662.12323,1752.284247,1881.660022,1941.843333,2507.263538
CityMD 14th St,3956.643155,3415.383617,4062.522539,3969.986336,4076.152916,4447.593547,4376.257309,4338.08771,4599.488527,4961.212754,4833.991947,5179.323369
CityMD 23rd St,3856.385072,3281.664709,3855.821221,3725.471181,3785.587493,4091.942362,3990.88912,3923.785289,4129.628587,4424.297426,4283.189159,4561.979876
CityMD 37th St,1831.54852,1611.87754,1942.81238,1917.570704,1983.586036,2176.33724,2150.551532,2138.577694,2272.595794,2455.287346,2395.046921,2567.982001
CityMD 57th St,3417.890328,2917.660128,3438.502582,3332.505502,3396.754017,3682.817444,3602.986867,3553.352348,3750.892105,4030.221792,3913.087757,4179.666384
CityMD 67th St,2586.366395,2207.6259,2600.341798,2517.938046,2563.41235,2775.321924,2710.623389,2668.309168,2811.157055,3014.351143,2920.405856,3112.455387
CityMD 86th St,5357.954557,4550.435173,5338.041046,5150.545161,5227.741692,5645.699082,5502.25903,5406.746783,5688.206211,6092.607734,5897.565603,6281.371702
CityMD 88th St,4595.285927,3934.873755,4650.727191,4520.344716,4620.518562,5023.31354,4927.831531,4872.973623,5156.968413,5554.620253,5406.34902,5788.258554
CityMD Astoria,1214.701863,1200.398677,1499.175855,1480.074711,1640.612952,1738.985668,1753.530339,1769.219839,1791.374226,1965.239316,1995.145718,2475.010756
CityMD Boerum Hill,1303.873376,1282.197224,1583.522307,1547.213676,1699.68787,1787.259027,1789.58189,1793.980085,1806.165063,1971.559383,1992.037299,2460.201347
CityMD Lake Grove,0,257.4068625,663.9408753,786.1099286,1004.869202,1173.553538,1288.757196,1452.886536,1630.226583,1844.293648,1994.741883,2682.261221
CityMD Long Beach,875.6709878,823.0207033,959.3915848,865.7295726,934.7774513,967.7298618,966.7667251,1006.250096,1058.3674,1133.051853,1164.9764,1498.187055
Commack,2070.978205,1717.730692,1897.134987,1656.301255,1748.900772,1782.408047,1760.149054,1815.776822,1897.522884,2021.552499,2070.459446,2654.938956
East Meadow,1347.924315,1147.403256,1291.487668,1144.370893,1222.746626,1257.999696,1251.961039,1300.061548,1365.726019,1461.299177,1502.336017,1932.527447
Great Neck,1767.115233,1471.752504,1632.233593,1431.090981,1517.643426,1553.373766,1540.581647,1596.289022,1675.143814,1791.894267,1842.892137,2372.688415
Levittown,4272.387678,3499.566947,3821.991003,3302.378158,3453.544734,3488.806369,3417.110167,3497.59353,3629.683619,3842.376468,3911.119171,4986.825381
Lindenhurst,3321.081211,2740.8689,3014.917122,2623.373955,2762.437074,2809.255999,2769.455172,2853.226308,2979.02418,3171.951637,3247.707072,4164.324376
Lynbrook,4175.10786,3426.311161,3748.985844,3245.477978,3400.657492,3442.091155,3378.030024,3464.716529,3602.709615,3821.301442,3897.624986,4979.674178
Maspeth,2392.824636,1979.809307,2235.244777,2055.174166,2161.014585,2196.549763,2141.605727,2100.049536,2077.414615,2235.64853,2231.05062,2726.473153
Mineola,1992.63754,1657.207703,1833.840567,1603.325652,1694.686061,1728.320679,1707.444618,1761.766697,1841.124981,1961.253314,2008.245245,2574.346028
Palisades,3645.780285,3052.53404,3482.240579,3232.052817,3427.206526,3510.476524,3446.404094,3401.295761,3383.759149,3659.713578,3669.426983,4503.689607
Park Slope,3570.159816,2965.952528,3360.274286,3099.143276,3267.50015,3329.122956,3252.51073,3195.205347,3165.582106,3411.003336,3407.773128,4168.406067
Syosset,1580.049345,1313.137097,1452.334911,1269.265561,1341.180586,1367.490816,1350.749117,1393.555306,1456.21638,1551.160574,1588.292726,2036.013608
Bay Ridge,0,0,79.32286118,710.6837153,895.3372236,990.4612886,1018.119879,1036.989281,1054.311616,1158.150867,1175.406093,1456.074718
Merrick,0,0,0,75.69803991,613.526993,820.9403986,931.2945155,1055.5096,1178.43736,1321.168156,1412.825332,1877.130343
Massapequa,0,0,0,0,288.069802,586.9335385,708.9508898,829.5540207,944.2344767,1073.185606,1160.293977,1555.081263
Yonkers,0,0,0,0,0,442.0274155,1041.189326,1239.129503,1367.205791,1583.868166,1674.370639,2141.898772
Forest Hills,0,0,0,0,21.16741686,833.172734,1005.557605,1086.312748,1139.682391,1276.992938,1315.123013,1647.270333
Riverdale,0,0,0,0,0,0,0,201.6722026,838.452527,1087.640604,1202.856142,1573.956804
Rockville Centre,0,0,0,0,0,0,0,0,0,314.2003142,947.4189456,1474.869929
Cobble Hill,0,0,0,0,0,0,0,0,0,696.7104959,1043.582546,1493.158834
Prospect Heights,0,0,0,0,0,0,0,0,0,0,0,840.2397764
Jackson Heights,0,0,0,0,0,0,0,45.1726245,721.8805858,1107.194188,1321.005042,1815.121148
White Plains,0,0,0,0,0,0,0,0,431.7473093,1021.496752,1253.042592,1730.594472
Union Square East,0,0,0,0,0,0,0,0,0,1188.11836,1614.842476,1950.984742
Upper West Side 68th St.,0,0,0,0,0,0,0,0,0,213.5402765,1166.527859,1537.707462
Williamsburg,0,0,0,0,0,0,0,0,0,343.5388374,986.6447934,1285.840829
Upper West Side 104th St.,0,0,0,0,0,0,0,0,0,0,0,125.5685623
Staten Island,0,0,0,0,0,0,0,0,0,0,0,0
Paramus,0,0,0,0,0,0,0,0,0,0,0,0
